,OffSex,OffRace,INCIDENT_DATE_LESS_,OFF_INJURE_DESC,OFF_HOSPIT,CitRace,CitSex,SUBJ_INJURE_DESC,CIT_ARREST,CIT_INFL_A,CITChargeT,SERVICE_TY,UOF_REASON,ForceType1
0,Male,Black,2,No injuries noted or visible,No,Black,Female,Non-Visible Injury/Pain,Yes,Mentally unstable,APOWW,Arrest,Arrest,Hand/Arm/Elbow Strike
1,Male,White,17,Sprain/Strain,Yes,Hispanic,Male,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Arrest,Joint Locks
2,Male,Black,1,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,No reason,APOWW,Arrest,Arrest,Take Down - Group
3,Male,Black,24,No injuries noted or visible,No,Hispanic,Male,Laceration/Cut,Yes,FD-Unknown if Armed,Evading Arrest,Arrest,Arrest,K-9 Deployment
4,Male,White,7,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,No reason,Other Misdemeanor Arrest,Arrest,Arrest,Verbal Command
5,Male,White,7,No injuries noted or visible,No,White,Female,No injuries noted or visible,Yes,No reason,Assault/FV,Arrest,Arrest,Hand Controlled Escort
6,Male,White,7,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,Assault,Arrest,Arrest,Weapon display at Person
7,Female,Black,9,No injuries noted or visible,No,White,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Arrest,Held Suspect Down
8,Male,Hispanic,4,No injuries noted or visible,No,Black,Female,Abrasion/Scrape,Yes,Mentally unstable,APOWW,Arrest,Danger to self or others,BD - Grabbed
9,Male,White,8,No injuries noted or visible,No,White,Female,No injuries noted or visible,Yes,Alchohol and unknown drugs,APOWW,Arrest,Arrest,Held Suspect Down
10,Male,White,7,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Marijuana,Assault/FV,Arrest,Arrest,Held Suspect Down
11,Male,White,6,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Marijuana,Assault/FV,Arrest,Arrest,Held Suspect Down
12,Male,American Ind,8,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,Other Misdemeanor Arrest,Service Call,Arrest,Verbal Command
13,Male,White,4,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol,"DWI, Resisting Search and Transport, Resisting Arrest, Other Felony Arrest",Arrest,Arrest,BD - Pushed
14,Male,Hispanic,5,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol,"DWI, Resisting Search and Transport, Other Felony Arrest",Arrest,Detention/Frisk,Held Suspect Down
15,Male,Black,9,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,No,None detected,No Arrest,Service Call,Detention/Frisk,Weapon display at Person
16,Female,White,12,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,None detected,Other Misdemeanor Arrest,Suspicious Activity,Arrest,Weapon display at Person
17,Male,Black,3,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"DWI, Other Misdemeanor Arrest, Drug Possession - Misdemeanor",Arrest,Arrest,Verbal Command
18,Male,Black,4,No injuries noted or visible,No,White,Female,Abrasion/Scrape,Yes,Mentally unstable,APOWW,Service Call,Arrest,Handcuffing Take Down
19,Male,White,7,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,None detected,Warrant/Hold,Arrest,Arrest,Verbal Command
20,Male,White,2,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,None detected,Warrant/Hold,Traffic Stop,Arrest,Weapon display at Person
21,Male,White,3,No injuries noted or visible,No,Black,Male,"Abrasion/Scrape, Treated by DFD",Yes,No reason,"Evading Arrest, Warrant/Hold, Other Misdemeanor Arrest",Traffic Stop,Weapon Display,Verbal Command
22,Male,White,1,No injuries noted or visible,No,Black,Male,Taser Burn Marks,Yes,FD-Suspect w/ Other Weapon,"Assault, Assault/Public Servant",Service Call,Weapon Display,Taser
23,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Public Intoxication, Fail to ID",Arrest,Other,Verbal Command
24,Male,White,21,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Suspect Unarmed,"Warrant/Hold, Drug Possession - Misdemeanor",Other ( In Narrative),Other,Weapon display at Person
25,Male,Hispanic,10,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Unknown if Armed,"Warrant/Hold, Other Misdemeanor Arrest",Crime in Progress,Danger to self or others,Weapon display at Person
26,Male,White,28,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Active Aggression,Take Down - Arm
27,Male,White,31,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Active Aggression,Take Down - Arm
28,Male,White,31,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Active Aggression,BD - Grabbed
29,Male,White,28,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,APOWW,Arrest,Active Aggression,BD - Grabbed
30,Male,White,2,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,Alchohol,"Evading Arrest, Public Intoxication",Arrest,Weapon Display,Weapon display at Person
31,Male,Black,30,No injuries noted or visible,No,Black,Female,Taser Burn Marks,Yes,Mentally unstable,"Assault/Public Servant, Crim Trespass/Bldg/Prop, Evading Arrest",Arrest,Active Aggression,Verbal Command
32,Male,White,8,Abrasion/Scrape,No,Black,Female,Taser Burn Marks,Yes,Mentally unstable,"Assault/Public Servant, Evading Arrest, Crim Trespass/Bldg/Prop",Arrest,Danger to self or others,Other Impact Weapon
33,Male,Black,2,No injuries noted or visible,No,Black,Female,Treated by DFD,Yes,Mentally unstable,"Assault/Public Servant, Evading Arrest, Crim Trespass/Bldg/Prop",Arrest,Danger to self or others,Hand Controlled Escort
34,Male,Hispanic,1,No injuries noted or visible,No,Black,Female,"Puncture, Hospitalized",Yes,Mentally unstable,"Assault/Public Servant, Evading Arrest, Crim Trespass/Bldg/Prop",Arrest,Arrest,Handcuffing Take Down
35,Male,Hispanic,4,No injuries noted or visible,No,White,Male,Puncture,No,Unknown Drugs,No Arrest,Service Call,Danger to self or others,Taser
36,Male,Black,15,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Mentally unstable,"Assault/Public Servant, Crim Trespass/Bldg/Prop, Evading Arrest",Service Call,Arrest,Weapon display at Person
37,Male,Other,3,No injuries noted or visible,No,Black,Male,Abrasion/Scrape,Yes,No reason,"Other Felony Arrest, Drug Possession - Misdemeanor",Service Call,Arrest,Verbal Command
38,Male,White,3,No injuries noted or visible,No,Black,Male,Abrasion/Scrape,Yes,Marijuana,"Drug Possession - Felony, Other Felony Arrest, Resisting Arrest",Suspicious Activity,Detention/Frisk,Verbal Command
39,Male,White,8,No injuries noted or visible,No,Black,Male,Abrasion/Scrape,Yes,Unknown Drugs,"Other Felony Arrest, Drug Possession - Misdemeanor, Resisting Arrest",Arrest,Arrest,Verbal Command
40,Male,White,4,No injuries noted or visible,No,NULL,Male,No injuries noted or visible,No,FD-Unknown if Armed,No Arrest,Arrest,Arrest,Verbal Command
41,Male,Hispanic,27,No injuries noted or visible,No,NULL,Male,No injuries noted or visible,No,FD-Unknown if Armed,No Arrest,Warrant Execution,Other,Take Down - Head
42,Male,White,10,No injuries noted or visible,No,NULL,Male,No injuries noted or visible,No,None detected,No Arrest,Warrant Execution,Arrest,Held Suspect Down
43,Male,White,7,No injuries noted or visible,No,NULL,Male,No injuries noted or visible,No,None detected,No Arrest,Warrant Execution,Other,Held Suspect Down
44,Male,Black,9,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Public Intoxication, Drug Possession - Misdemeanor",Arrest,Active Aggression,Verbal Command
45,Male,Hispanic,7,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Public Intoxication, Drug Possession - Misdemeanor",Arrest,Active Aggression,Held Suspect Down
46,Male,Black,8,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,NULL,Other Misdemeanor Arrest,Arrest,Arrest,Joint Locks
47,Male,White,1,Abrasion/Scrape,No,Black,Male,No injuries noted or visible,Yes,Unknown Drugs,"Theft, Evading Arrest, Other Felony Arrest, Other Misdemeanor Arrest, Drug Possession - Misdemeanor, Warrant/Hold",Suspicious Activity,Arrest,Verbal Command
48,Male,Asian,2,No injuries noted or visible,No,Black,Male,"Puncture, Non-Visible Injury/Pain",Yes,No reason,"Theft, Evading Arrest, Other Felony Arrest, Other Misdemeanor Arrest, Drug Possession - Misdemeanor, Warrant/Hold",Suspicious Activity,Detention/Frisk,Verbal Command
49,Male,White,7,No injuries noted or visible,No,Black,Female,Injury Not Related to Force,Yes,Mentally unstable,APOWW,Arrest,Danger to self or others,Verbal Command
50,Male,White,10,Fluid Exposure,No,Hispanic,Male,No injuries noted or visible,Yes,Mentally unstable,Assault/Public Servant,Arrest,Active Aggression,Take Down - Arm
51,Male,White,2,No injuries noted or visible,No,Asian,Male,No injuries noted or visible,Yes,Unknown Drugs,"Other Misdemeanor Arrest, DWLI",Traffic Stop,Danger to self or others,Weapon display at Person
52,Male,White,3,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,No reason,Other Misdemeanor Arrest,Other ( In Narrative),Other,BD - Pushed
53,Male,Black,24,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,Arrest,Active Aggression,Verbal Command
54,Male,White,26,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,Arrest,Active Aggression,Verbal Command
55,Male,Black,24,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,Arrest,Active Aggression,Verbal Command
56,Male,White,26,No injuries noted or visible,No,White,Male,No injuries noted or visible,Yes,Alchohol and unknown drugs,Public Intoxication,Arrest,Active Aggression,Verbal Command
57,Male,White,4,No injuries noted or visible,No,Black,Male,"Treated by DFD, Hospital Drug Evaluation",No,Unknown Drugs,No Arrest,Service Call,Danger to self or others,Verbal Command
58,Male,White,11,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Suspect w/ Gun,"Assault/FV, Warrant/Hold, Drug Possession - Misdemeanor, Other Felony Arrest",Arrest,Weapon Display,Weapon display at Person
59,Male,White,11,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Suspect w/ Gun,"Assault/FV, Drug Possession - Misdemeanor, Warrant/Hold, Other Felony Arrest",Arrest,Weapon Display,Weapon display at Person
60,Male,Hispanic,1,No injuries noted or visible,No,Black,Male,No injuries noted or visible,Yes,FD-Suspect w/ Gun,"Assault/FV, Drug Possession - Misdemeanor, Warrant/Hold, Other Felony Arrest",Arrest,Weapon Display,Weapon display at Person
61,Male,White,6,No injuries noted or visible,No,Hispanic,Female,No injuries noted or visible,Yes,No reason,"Burglary of a Vehicle, Escape",Arrest,Arrest,Feet/Leg/Knee Strike
62,Male,White,24,"PAIN, Fatigue",No,White,Female,No injuries noted or visible,Yes,Unknown Drugs,"Theft, Resisting Arrest, Drug Possession - Felony, Drug Possession - Misdemeanor, Warrant/Hold",Arrest,Active Aggression,Verbal Command
63,Male,Hispanic,13,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,Alchohol,"DWI, Resisting Arrest",Service Call,Arrest,Verbal Command
64,Male,White,3,No injuries noted or visible,No,Black,Female,No injuries noted or visible,Yes,No reason,"Theft, Drug Possession - Felony",Arrest,Arrest,Handcuffing Take Down
65,Female,White,1,No injuries noted or visible,No,Black,Male,Laceration/Cut,Yes,Alchohol,Public Intoxication,Service Call,Arrest,Verbal Command
66,Male,White,7,No injuries noted or visible,No,Hispanic,Male,No injuries noted or visible,Yes,Unknown Drugs,Public Intoxication,Arrest,Active Aggression,Verbal Command
67,Male,Black,19,No injuries noted or visible,No,Black,Female,No injuries noted or visible,No,Mentally unstable,Crim Trespass/Bldg/Prop,Service Call,Active Aggression,Joint Locks
68,Male,White,1,No injuries noted or visible,No,White,Male,Redness/Swelling,Yes,Alchohol,"Public Intoxication, Criminal Mischief, Fail to ID, Assault/Public Servant, Resisting Arrest",Arrest,Active Aggression,Verbal Command
