,features,CIT_ARREST encoded
0,"(13,[0,2,6,11,12],[2.0,2.0,4.0,13.0,2.0])",0.0
1,"(13,[0,3,4,5,11,12],[17.0,3.0,1.0,1.0,5.0,1.0])",0.0
2,"(13,[0,2,5,7,11,12],[1.0,2.0,1.0,2.0,16.0,1.0])",0.0
3,"[24.0,0.0,2.0,0.0,0.0,1.0,2.0,6.0,6.0,0.0,0.0,19.0,1.0]",0.0
4,"(13,[0,7,8,12],[7.0,2.0,8.0,1.0])",0.0
5,"(13,[0,5,7,8,11,12],[7.0,2.0,2.0,4.0,6.0,2.0])",0.0
6,"(13,[0,7,8,11,12],[7.0,4.0,9.0,1.0,1.0])",0.0
7,"(13,[0,1,2,5,11,12],[9.0,1.0,2.0,2.0,2.0,2.0])",0.0
8,"(13,[0,2,6,10,11,12],[4.0,1.0,1.0,1.0,3.0,2.0])",0.0
9,"(13,[0,5,7,11,12],[8.0,2.0,5.0,2.0,2.0])",0.0
10,"(13,[0,7,8,11,12],[7.0,8.0,4.0,2.0,2.0])",0.0
11,"(13,[0,7,8,11,12],[6.0,8.0,4.0,2.0,2.0])",0.0
12,"(13,[0,2,7,8,9,12],[8.0,5.0,3.0,8.0,1.0,1.0])",0.0
13,"(13,[0,5,7,8,11,12],[4.0,1.0,1.0,526.0,10.0,1.0])",0.0
14,"[5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,190.0,0.0,3.0,2.0,1.0]",0.0
15,"[9.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0]",1.0
16,"(13,[0,1,7,8,9,11,12],[12.0,1.0,4.0,8.0,7.0,1.0,1.0])",0.0
17,"(13,[0,2,5,7,8,12],[3.0,2.0,1.0,5.0,528.0,1.0])",0.0
18,"(13,[0,2,5,6,9,11,12],[4.0,2.0,2.0,1.0,1.0,11.0,2.0])",0.0
19,"(13,[0,5,7,8,12],[7.0,2.0,4.0,3.0,1.0])",0.0
20,"(13,[0,5,7,8,9,11,12],[2.0,2.0,4.0,3.0,3.0,1.0,1.0])",0.0
21,"(13,[0,6,7,8,9,10,12],[3.0,15.0,2.0,195.0,3.0,4.0,1.0])",0.0
22,"[1.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,100.0,1.0,4.0,7.0,1.0]",0.0
23,"(13,[0,7,8,10,12],[3.0,5.0,378.0,5.0,1.0])",0.0
24,"(13,[0,7,8,9,10,11,12],[21.0,10.0,27.0,5.0,5.0,1.0,1.0])",0.0
25,"[10.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,103.0,4.0,1.0,1.0,1.0]",0.0
26,"(13,[0,10,11,12],[28.0,2.0,4.0,2.0])",0.0
27,"(13,[0,10,11,12],[31.0,2.0,4.0,2.0])",0.0
28,"(13,[0,10,11,12],[31.0,2.0,3.0,2.0])",0.0
29,"(13,[0,10,11,12],[28.0,2.0,3.0,2.0])",0.0
30,"(13,[0,7,8,10,11,12],[2.0,1.0,210.0,4.0,1.0,1.0])",0.0
31,"(13,[0,2,6,8,10,12],[30.0,2.0,5.0,151.0,2.0,2.0])",0.0
32,"(13,[0,3,6,8,10,11,12],[8.0,1.0,5.0,87.0,1.0,20.0,2.0])",0.0
33,"(13,[0,2,6,8,10,11,12],[2.0,2.0,9.0,87.0,1.0,6.0,2.0])",0.0
34,"(13,[0,2,6,8,11,12],[1.0,1.0,86.0,87.0,11.0,2.0])",0.0
35,"[4.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0]",1.0
36,"(13,[0,2,8,9,11,12],[15.0,2.0,151.0,1.0,1.0,2.0])",0.0
37,"(13,[0,2,6,7,8,9,12],[3.0,4.0,1.0,2.0,85.0,1.0,1.0])",0.0
38,"(13,[0,6,7,8,9,10,12],[3.0,1.0,8.0,247.0,7.0,3.0,1.0])",0.0
39,"(13,[0,6,7,8,12],[8.0,1.0,3.0,90.0,1.0])",0.0
40,"(13,[0,5,7,8,12],[4.0,3.0,6.0,1.0,1.0])",1.0
41,"[27.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,1.0,9.0,5.0,18.0,1.0]",1.0
42,"(13,[0,5,7,8,9,11,12],[10.0,3.0,4.0,1.0,9.0,2.0,1.0])",1.0
43,"[7.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,9.0,5.0,2.0,1.0]",1.0
44,"(13,[0,2,5,7,8,10,12],[9.0,2.0,2.0,5.0,23.0,2.0,1.0])",0.0
45,"[7.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,23.0,0.0,2.0,2.0,1.0]",0.0
46,"(13,[0,2,5,7,8,11,12],[8.0,2.0,1.0,7.0,8.0,5.0,1.0])",0.0
47,"(13,[0,3,7,8,9,12],[1.0,1.0,3.0,174.0,7.0,1.0])",0.0
48,"[2.0,0.0,3.0,0.0,0.0,0.0,139.0,2.0,174.0,7.0,3.0,0.0,1.0]",0.0
49,"(13,[0,6,10,12],[7.0,7.0,1.0,2.0])",0.0
50,"(13,[0,3,5,8,10,11,12],[10.0,5.0,1.0,5.0,2.0,4.0,1.0])",0.0
51,"[2.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,489.0,3.0,1.0,1.0,1.0]",0.0
52,"(13,[0,7,8,9,10,11,12],[3.0,2.0,8.0,5.0,5.0,10.0,1.0])",0.0
53,"(13,[0,2,5,7,8,10,12],[24.0,2.0,2.0,5.0,2.0,2.0,1.0])",0.0
54,"(13,[0,5,7,8,10,12],[26.0,2.0,5.0,2.0,2.0,1.0])",0.0
55,"(13,[0,2,5,7,8,10,12],[24.0,2.0,2.0,5.0,2.0,2.0,1.0])",0.0
56,"(13,[0,5,7,8,10,12],[26.0,2.0,5.0,2.0,2.0,1.0])",0.0
57,"(13,[0,6,7,8,9,10,12],[4.0,143.0,3.0,1.0,1.0,1.0,1.0])",1.0
58,"(13,[0,7,8,10,11,12],[11.0,9.0,503.0,4.0,1.0,1.0])",0.0
59,"(13,[0,7,8,10,11,12],[11.0,9.0,206.0,4.0,1.0,1.0])",0.0
60,"(13,[0,2,7,8,10,11,12],[1.0,1.0,9.0,206.0,4.0,1.0,1.0])",0.0
61,"(13,[0,5,7,8,11,12],[6.0,1.0,2.0,398.0,15.0,2.0])",0.0
62,"(13,[0,3,5,7,8,10,12],[24.0,44.0,2.0,3.0,470.0,2.0,2.0])",0.0
63,"(13,[0,2,7,8,9,12],[13.0,1.0,1.0,26.0,1.0,2.0])",0.0
64,"(13,[0,7,8,11,12],[3.0,2.0,245.0,11.0,2.0])",0.0
65,"(13,[0,1,6,7,8,9,12],[1.0,1.0,2.0,1.0,2.0,1.0,1.0])",0.0
66,"(13,[0,5,7,8,10,12],[7.0,1.0,3.0,2.0,2.0,1.0])",0.0
67,"(13,[0,2,8,9,10,11,12],[19.0,2.0,13.0,1.0,2.0,5.0,2.0])",1.0
68,"(13,[0,5,6,7,8,10,12],[1.0,2.0,12.0,1.0,540.0,2.0,1.0])",0.0
69,"(13,[0,2,5,7,8,12],[3.0,1.0,1.0,5.0,187.0,1.0])",0.0
70,"(13,[0,2,6,7,8,11,12],[7.0,2.0,1.0,5.0,9.0,4.0,1.0])",0.0
71,"(13,[0,7,8,10,12],[1.0,4.0,181.0,1.0,1.0])",0.0
72,"[27.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0]",1.0
73,"(13,[0,7,8,11,12],[11.0,1.0,2.0,5.0,1.0])",0.0
74,"[2.0,1.0,0.0,0.0,0.0,2.0,9.0,5.0,471.0,0.0,2.0,0.0,1.0]",0.0
75,"(13,[0,2,8,11,12],[3.0,1.0,54.0,1.0,1.0])",0.0
76,"[27.0,0.0,0.0,0.0,0.0,2.0,33.0,6.0,433.0,0.0,2.0,7.0,1.0]",0.0
77,"(13,[0,9,10,11,12],[2.0,1.0,4.0,1.0,1.0])",0.0
78,"(13,[0,2,5,7,11,12],[2.0,2.0,3.0,1.0,13.0,2.0])",0.0
79,"(13,[0,2,5,7,8,12],[4.0,1.0,1.0,1.0,70.0,1.0])",0.0
80,"(13,[0,6,7,10,12],[2.0,121.0,3.0,2.0,1.0])",0.0
81,"(13,[0,2,6,7,8,12],[8.0,1.0,34.0,4.0,309.0,1.0])",0.0
82,"(13,[0,2,5,8,9,10,12],[3.0,1.0,1.0,1.0,1.0,3.0,2.0])",1.0
83,"(13,[0,2,7,8,10,11,12],[29.0,1.0,5.0,169.0,2.0,13.0,1.0])",0.0
84,"(13,[0,2,6,7,8,11,12],[28.0,1.0,4.0,1.0,66.0,12.0,1.0])",0.0
85,"[2.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,2.0,8.0,1.0]",1.0
86,"[27.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,1.0,1.0,1.0]",1.0
87,"[13.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,3.0,4.0,3.0,0.0,1.0]",0.0
88,"(13,[0,6,7,8,9,12],[6.0,3.0,2.0,446.0,1.0,2.0])",0.0
89,"(13,[0,6,8,11,12],[3.0,7.0,98.0,4.0,2.0])",0.0
90,"[13.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,39.0,0.0,0.0,2.0,1.0]",0.0
91,"[2.0,0.0,1.0,0.0,0.0,0.0,74.0,7.0,331.0,0.0,2.0,1.0,1.0]",0.0
92,"[32.0,0.0,0.0,6.0,0.0,2.0,66.0,5.0,242.0,0.0,2.0,0.0,1.0]",0.0
93,"[2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,76.0,1.0,0.0,11.0,2.0]",0.0
94,"(13,[0,7,8,11,12],[3.0,3.0,23.0,12.0,1.0])",0.0
95,"(13,[0,6,7,10,11,12],[25.0,5.0,8.0,1.0,7.0,1.0])",0.0
96,"(13,[0,2,7,8,11,12],[3.0,2.0,2.0,164.0,3.0,1.0])",0.0
97,"(13,[0,7,8,11,12],[6.0,4.0,16.0,2.0,1.0])",0.0
98,"(13,[0,9,10,11,12],[16.0,5.0,1.0,5.0,2.0])",0.0
99,"[11.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,1.0,1.0]",0.0
100,"(13,[0,7,8,11,12],[10.0,2.0,19.0,17.0,2.0])",0.0
101,"(13,[0,5,7,8,12],[1.0,1.0,3.0,83.0,1.0])",0.0
102,"[1.0,0.0,0.0,0.0,0.0,2.0,102.0,2.0,140.0,1.0,0.0,18.0,1.0]",0.0
103,"(13,[0,3,6,9,10,11,12],[17.0,1.0,30.0,2.0,1.0,9.0,1.0])",0.0
104,"(13,[0,6,7,8,11,12],[7.0,1.0,2.0,28.0,10.0,1.0])",0.0
105,"(13,[0,2,7,8,11,12],[7.0,2.0,2.0,164.0,3.0,1.0])",0.0
106,"(13,[0,5,7,8,9,10,12],[27.0,1.0,6.0,51.0,1.0,3.0,1.0])",0.0
107,"[5.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,5.0,4.0,1.0,1.0]",1.0
108,"(13,[0,5,8,9,10,11,12],[8.0,2.0,1.0,1.0,1.0,10.0,2.0])",1.0
109,"(13,[0,5,6,11,12],[6.0,1.0,50.0,6.0,1.0])",0.0
110,"(13,[0,7,8,9,12],[15.0,5.0,2.0,1.0,1.0])",0.0
111,"(13,[0,2,5,7,8,11,12],[3.0,2.0,1.0,1.0,3.0,3.0,2.0])",0.0
112,"(13,[0,7,8,12],[2.0,2.0,76.0,2.0])",0.0
113,"[9.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,362.0,1.0,0.0,3.0,1.0]",0.0
114,"(13,[0,2,6,7,8,12],[3.0,2.0,18.0,1.0,7.0,2.0])",0.0
115,"(13,[0,7,8,12],[3.0,2.0,6.0,1.0])",0.0
116,"(13,[0,5,6,7,8,9,12],[2.0,2.0,7.0,1.0,51.0,2.0,1.0])",0.0
117,"[21.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,81.0,1.0,6.0,1.0,1.0]",0.0
118,"(13,[0,7,8,11,12],[1.0,4.0,390.0,1.0,1.0])",0.0
119,"[15.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0]",1.0
120,"(13,[0,6,7,8,9,12],[4.0,81.0,3.0,53.0,1.0,1.0])",0.0
